id;antecedencia_da_reserva;mes_chegada;dia_chegada;noites_da_estadia;noites_fim_de_semana;hotel_de_praia;regime;adultos;criancas;bebes;ja_cliente;cancelamentos_anteriores;reservas_anteriores_nao_canceladas;alteracoes_da_reserva;total_de_pedidos;tipo_deposito;cancelada
162;198;April;29;2;1;yes;HB - Half Board;1;0;0;no;0;0;1;0;No Deposit;no
164;142;June;13;7;2;yes;BB - Bed & Breakfast;3;1;0;no;0;0;0;0;No Deposit;yes
167;10;March;29;1;0;yes;BB - Bed & Breakfast;1;0;0;no;0;2;0;0;No Deposit;no
169;103;October;17;2;0;no;HB - Half Board;2;0;0;no;0;0;0;0;No Deposit;no
173;155;May;6;3;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit;no
177;222;April;30;7;2;yes;HB - Half Board;2;0;0;no;0;0;0;0;No Deposit;yes
178;98;March;21;7;2;no;HB - Half Board;1;0;0;no;1;0;0;0;Non Refund;yes
180;365;October;13;4;0;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit;no
183;190;May;18;3;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit;yes
194;180;October;2;3;2;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;2;No Deposit;yes
196;56;September;7;2;2;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit;no
207;276;October;3;2;2;yes;HB - Half Board;2;0;0;no;27;0;0;0;Non Refund;yes
210;7;January;24;3;1;no;SC - Self Catering;2;0;0;no;0;0;0;1;No Deposit;no
212;268;March;30;2;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;Non Refund;yes
233;1;February;22;2;0;yes;BB - Bed & Breakfast;1;0;0;no;0;0;0;0;No Deposit;no
234;8;October;6;5;1;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit;no
235;15;December;28;4;0;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit;no
240;12;June;26;1;1;yes;BB - Bed & Breakfast;1;0;0;yes;1;1;0;0;No Deposit;yes
242;170;June;9;3;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;Non Refund;yes
246;1;February;21;1;0;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit;no
249;33;April;11;2;0;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit;no
254;31;October;15;5;2;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit;yes
256;4;February;5;8;2;no;SC - Self Catering;2;0;0;no;0;0;0;0;No Deposit;yes
263;384;October;5;4;1;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit;yes
264;3;October;30;2;1;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit;no
266;15;January;5;2;0;yes;HB - Half Board;2;0;0;no;0;0;0;0;No Deposit;no
270;106;May;19;3;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;2;No Deposit;no
272;43;February;14;7;2;yes;HB - Half Board;2;0;0;no;0;0;0;1;No Deposit;no
289;56;April;7;1;0;no;HB - Half Board;1;0;0;no;0;0;2;0;No Deposit;no
295;21;January;30;1;1;no;BB - Bed & Breakfast;1;0;0;yes;0;7;0;0;No Deposit;no
296;44;February;13;1;0;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;2;No Deposit;no
305;76;October;31;2;2;no;HB - Half Board;2;0;0;no;0;0;0;0;Non Refund;yes
306;133;November;5;14;4;yes;BB - Bed & Breakfast;2;0;0;no;0;0;3;1;No Deposit;no
310;17;December;5;2;2;no;BB - Bed & Breakfast;2;1;0;no;0;0;0;1;No Deposit;no
311;1;May;9;0;0;yes;BB - Bed & Breakfast;2;0;0;yes;0;0;0;0;No Deposit;no
313;80;August;15;7;2;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit;yes
317;77;November;30;2;0;yes;BB - Bed & Breakfast;1;0;0;no;0;0;1;0;No Deposit;no
318;116;August;21;5;2;no;BB - Bed & Breakfast;1;0;0;no;0;0;1;0;No Deposit;no
319;94;April;20;8;2;no;HB - Half Board;2;1;0;no;0;0;0;1;No Deposit;no
332;8;October;6;4;0;yes;BB - Bed & Breakfast;2;0;0;no;0;0;1;1;No Deposit;no
333;2;May;29;2;0;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit;no
334;293;July;22;2;0;no;HB - Half Board;2;0;0;no;0;0;0;0;No Deposit;no
337;130;June;3;3;1;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;Non Refund;yes
340;246;June;18;2;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;Non Refund;yes
342;351;June;18;2;0;no;BB - Bed & Breakfast;1;0;0;no;0;0;0;0;Non Refund;yes
359;280;October;22;2;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;Non Refund;yes
362;65;April;18;6;1;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit;yes
364;73;December;18;4;1;no;SC - Self Catering;2;0;0;no;0;0;0;0;No Deposit;yes
365;12;May;8;15;5;no;BB - Bed & Breakfast;1;0;0;no;0;0;0;0;No Deposit;no
369;212;October;13;7;2;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit;no
374;2;February;6;3;2;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit;no
375;85;February;12;1;0;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit;no
377;92;September;30;3;1;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit;no
379;66;September;15;3;0;yes;BB - Bed & Breakfast;1;0;0;no;0;0;0;2;No Deposit;no
381;22;September;4;4;2;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;3;No Deposit;no
386;125;October;21;3;2;yes;BB - Bed & Breakfast;2;0;0;no;0;0;1;0;No Deposit;no
389;104;December;10;4;2;no;BB - Bed & Breakfast;3;0;0;no;0;0;0;1;No Deposit;yes
392;7;July;29;4;2;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit;no
395;2;October;26;3;0;yes;BB - Bed & Breakfast;1;0;0;no;0;0;0;1;No Deposit;no
399;50;March;14;5;0;yes;HB - Half Board;2;0;0;no;0;0;0;0;No Deposit;no
401;287;May;18;1;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;Non Refund;yes
405;26;July;26;5;2;yes;HB - Half Board;2;1;0;no;0;0;0;2;No Deposit;no
413;7;November;9;1;0;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit;no
414;4;February;11;2;0;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit;no
417;3;November;17;1;0;yes;BB - Bed & Breakfast;1;0;0;yes;0;1;0;2;No Deposit;no
418;281;November;15;4;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit;yes
422;142;June;14;4;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;2;No Deposit;no
426;1;January;2;2;2;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit;no
427;238;September;21;4;1;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;2;No Deposit;no
432;159;August;1;7;2;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit;yes
434;19;February;25;4;0;no;SC - Self Catering;2;0;0;no;0;0;0;1;No Deposit;yes
435;42;March;16;1;0;no;BB - Bed & Breakfast;1;0;0;no;0;0;0;0;No Deposit;yes
437;85;February;14;3;1;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit;yes
441;125;December;29;4;1;no;BB - Bed & Breakfast;2;0;0;no;0;0;1;2;No Deposit;no
445;67;March;6;2;0;no;SC - Self Catering;2;0;0;no;0;0;0;0;No Deposit;no
454;3;November;23;1;0;yes;BB - Bed & Breakfast;1;0;0;no;0;0;0;0;No Deposit;no
455;5;September;13;4;1;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit;no
457;26;August;17;3;0;no;SC - Self Catering;2;0;0;no;0;0;0;1;No Deposit;yes
458;65;January;20;2;0;no;SC - Self Catering;2;0;0;no;0;0;0;2;No Deposit;no
459;16;October;1;2;0;no;BB - Bed & Breakfast;2;0;0;no;1;0;0;0;No Deposit;yes
462;108;May;12;10;2;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit;no
463;123;July;9;1;0;no;BB - Bed & Breakfast;3;0;0;no;0;0;3;2;No Deposit;no
466;56;September;27;2;0;no;BB - Bed & Breakfast;3;0;0;no;0;0;0;2;No Deposit;no
467;3;February;20;2;0;yes;HB - Half Board;2;0;0;no;0;0;0;0;No Deposit;yes
469;48;October;24;6;2;no;HB - Half Board;2;2;0;no;0;0;0;1;No Deposit;yes
484;1;January;27;1;0;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;2;No Deposit;no
486;1;October;2;3;2;no;BB - Bed & Breakfast;1;0;0;no;0;0;0;1;No Deposit;no
487;2;February;19;3;2;no;SC - Self Catering;2;0;0;no;0;0;0;0;No Deposit;no
496;267;May;4;3;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;Non Refund;yes
499;35;November;26;3;2;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit;yes
505;41;May;19;2;0;yes;BB - Bed & Breakfast;1;0;0;no;0;0;0;0;Non Refund;yes
507;16;February;1;3;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit;no
510;123;July;6;3;1;no;SC - Self Catering;2;0;0;no;0;0;0;0;No Deposit;no
522;220;September;5;6;2;no;BB - Bed & Breakfast;1;0;0;no;0;0;1;0;No Deposit;no
529;3;March;26;2;1;no;BB - Bed & Breakfast;2;0;0;no;0;0;2;1;No Deposit;no
532;39;March;31;7;2;yes;HB - Half Board;2;0;0;no;0;0;0;0;No Deposit;no
543;26;May;19;3;2;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit;yes
547;104;February;9;2;0;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit;no
548;384;October;5;3;0;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit;no
549;12;December;31;4;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit;yes
552;187;August;15;7;2;no;SC - Self Catering;2;0;0;no;0;0;0;1;No Deposit;no
553;347;September;12;2;0;no;HB - Half Board;2;0;0;no;0;0;0;1;No Deposit;no
556;10;April;18;1;0;yes;BB - Bed & Breakfast;1;0;0;no;0;1;0;0;No Deposit;no
557;19;May;23;1;1;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit;yes
558;184;September;6;6;1;yes;BB - Bed & Breakfast;1;0;0;no;0;0;0;0;No Deposit;yes
560;35;September;17;3;2;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit;no
561;84;September;24;2;0;no;BB - Bed & Breakfast;3;0;0;no;0;0;1;0;No Deposit;no
562;41;August;11;5;1;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit;no
567;115;December;11;1;1;no;SC - Self Catering;2;0;0;no;0;0;0;1;No Deposit;no
569;108;June;11;2;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit;no
573;293;October;24;6;2;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit;no
584;253;April;21;7;2;yes;BB - Bed & Breakfast;2;0;0;no;0;0;1;0;No Deposit;yes
585;44;May;22;4;2;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit;no
586;124;March;29;3;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit;yes
590;140;August;8;7;2;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit;no
591;121;September;10;7;2;no;BB - Bed & Breakfast;3;0;0;no;0;0;2;1;No Deposit;no
596;15;April;30;1;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit;no
599;214;June;25;2;1;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;Non Refund;yes
600;157;April;27;3;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;Non Refund;yes
601;245;June;21;4;1;yes;HB - Half Board;2;0;0;no;0;0;0;2;No Deposit;yes
606;43;September;17;2;2;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit;no
609;287;October;29;2;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;Non Refund;yes
611;35;October;28;2;1;no;SC - Self Catering;2;0;0;no;0;0;0;1;No Deposit;yes
616;152;May;14;4;2;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;Non Refund;yes
619;11;October;6;2;1;no;BB - Bed & Breakfast;1;0;0;no;0;0;0;1;No Deposit;no
620;2;January;5;2;1;no;SC - Self Catering;2;0;0;no;0;0;0;1;No Deposit;no
624;35;December;7;2;0;no;BB - Bed & Breakfast;1;0;0;no;1;0;0;0;Non Refund;yes
636;9;October;11;3;2;no;BB - Bed & Breakfast;2;0;0;no;1;0;0;0;Non Refund;yes
644;75;September;17;2;0;no;HB - Half Board;2;0;0;no;0;0;0;0;Non Refund;yes
645;122;March;27;7;2;yes;HB - Half Board;2;0;0;no;0;0;0;1;No Deposit;no
651;154;June;23;4;1;yes;BB - Bed & Breakfast;3;0;0;no;0;0;0;2;No Deposit;yes
652;2;September;16;2;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit;no
656;2;August;30;2;0;no;BB - Bed & Breakfast;1;0;0;yes;0;6;0;3;No Deposit;no
657;80;April;2;6;2;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit;yes
659;215;October;4;2;1;yes;HB - Half Board;2;0;0;no;1;0;0;0;No Deposit;yes
663;6;September;24;1;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit;no
667;394;October;9;4;2;yes;HB - Half Board;2;0;0;no;0;0;0;0;Non Refund;yes
674;6;August;2;4;1;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;3;No Deposit;no
677;193;June;23;2;0;no;BB - Bed & Breakfast;1;0;0;no;0;0;0;0;No Deposit;no
690;305;November;4;3;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;Non Refund;yes
693;24;December;15;1;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit;yes
698;109;September;14;9;4;yes;BB - Bed & Breakfast;2;1;1;no;0;0;0;2;No Deposit;no
702;24;May;17;2;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit;no
703;1;April;19;1;1;yes;BB - Bed & Breakfast;1;0;0;yes;0;1;0;0;No Deposit;no
704;159;May;23;2;0;no;BB - Bed & Breakfast;1;0;0;no;0;0;0;0;Non Refund;yes
705;4;April;26;2;0;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit;no
706;61;December;7;4;1;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;2;No Deposit;yes
711;35;December;7;2;0;no;BB - Bed & Breakfast;1;0;0;no;1;0;0;0;Non Refund;yes
712;170;July;30;4;1;yes;HB - Half Board;2;0;0;no;0;0;0;3;No Deposit;no
713;99;May;15;8;3;no;SC - Self Catering;2;0;0;no;0;0;2;0;No Deposit;yes
721;1;October;27;2;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit;no
723;111;July;23;4;2;no;BB - Bed & Breakfast;3;0;0;no;0;0;0;1;No Deposit;no
727;135;February;24;1;0;no;BB - Bed & Breakfast;1;0;0;no;0;0;0;0;No Deposit;yes
729;38;October;12;3;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit;yes
737;88;June;13;7;2;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit;no
739;21;September;18;3;1;no;BB - Bed & Breakfast;1;0;0;no;0;0;1;0;No Deposit;no
741;30;October;1;3;1;yes;BB - Bed & Breakfast;2;1;0;no;0;0;1;0;No Deposit;yes
742;146;March;31;4;2;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;2;No Deposit;yes
744;181;July;24;2;1;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit;yes
746;283;June;23;7;2;yes;HB - Half Board;2;2;0;no;0;0;1;1;No Deposit;no
747;343;October;13;7;2;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit;no
751;6;April;3;3;0;no;SC - Self Catering;2;0;0;no;0;0;0;1;No Deposit;no
754;152;March;21;2;1;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit;no
764;70;September;8;2;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit;no
766;8;October;26;4;1;no;BB - Bed & Breakfast;1;0;0;no;0;0;1;0;No Deposit;no
770;94;December;18;1;0;yes;FB - Full Board;2;0;0;no;0;0;0;0;Non Refund;yes
772;64;December;24;6;2;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;2;No Deposit;no
775;256;December;29;4;2;no;BB - Bed & Breakfast;3;0;0;no;0;0;0;0;No Deposit;yes
776;127;May;8;3;2;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit;no
781;4;December;20;3;1;no;SC - Self Catering;1;0;0;no;0;0;0;0;No Deposit;no
783;19;April;13;5;1;yes;BB - Bed & Breakfast;2;0;0;no;0;0;2;0;No Deposit;no
784;12;June;13;1;0;no;BB - Bed & Breakfast;1;0;0;no;0;0;0;0;No Deposit;no
789;28;February;4;4;2;no;BB - Bed & Breakfast;1;0;0;no;0;0;0;1;No Deposit;no
791;122;June;23;1;0;no;BB - Bed & Breakfast;2;1;0;no;0;0;0;0;No Deposit;no
792;162;March;26;3;1;no;HB - Half Board;2;0;0;no;0;0;0;0;Non Refund;yes
796;69;August;11;3;1;yes;HB - Half Board;2;1;0;no;0;0;0;1;No Deposit;no
797;169;September;12;2;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit;no
800;293;July;27;7;2;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit;yes
801;156;December;22;7;2;yes;BB - Bed & Breakfast;2;0;0;no;0;0;2;1;No Deposit;no
805;21;June;11;2;1;no;BB - Bed & Breakfast;2;1;0;no;0;0;0;1;No Deposit;yes
809;40;November;9;5;0;yes;BB - Bed & Breakfast;1;0;0;no;0;0;0;0;No Deposit;yes
811;30;August;31;1;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;2;No Deposit;no
815;378;October;15;2;0;no;HB - Half Board;2;0;0;no;0;0;0;1;No Deposit;no
816;255;September;23;2;1;no;HB - Half Board;2;0;0;no;0;0;0;0;Non Refund;yes
818;66;August;21;7;2;yes;HB - Half Board;3;0;0;no;0;0;0;0;No Deposit;no
821;95;August;14;5;2;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit;no
822;445;December;2;3;0;no;BB - Bed & Breakfast;1;0;0;no;1;0;0;0;Non Refund;yes
828;78;August;23;6;1;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;2;No Deposit;no
829;174;June;10;5;2;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;Non Refund;yes
836;96;August;19;6;2;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit;no
839;199;May;19;1;0;no;BB - Bed & Breakfast;1;0;0;no;0;0;1;0;No Deposit;no
840;74;February;19;4;1;no;BB - Bed & Breakfast;3;0;0;no;0;0;1;1;No Deposit;no
841;33;October;26;5;0;no;SC - Self Catering;2;0;0;no;0;0;0;1;No Deposit;no
843;491;July;30;3;2;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;Non Refund;yes
847;259;September;9;1;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;Non Refund;yes
862;186;October;5;5;2;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit;no
875;111;September;20;5;1;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit;yes
877;36;May;11;2;0;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;2;No Deposit;no
881;10;September;3;4;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit;no
882;134;April;18;4;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit;no
884;68;August;3;6;2;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit;no
888;34;November;13;3;0;yes;BB - Bed & Breakfast;1;0;0;no;0;0;2;0;No Deposit;no
889;364;October;16;2;0;no;BB - Bed & Breakfast;2;0;0;no;1;0;0;0;Non Refund;yes
891;261;February;24;3;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit;yes
892;183;June;28;6;1;yes;BB - Bed & Breakfast;2;1;1;no;0;0;0;3;No Deposit;no
895;19;October;10;3;0;yes;BB - Bed & Breakfast;1;0;0;no;0;0;0;0;No Deposit;no
897;36;July;15;13;4;yes;BB - Bed & Breakfast;2;0;0;no;0;0;1;0;No Deposit;no
898;67;November;2;3;0;no;BB - Bed & Breakfast;1;0;0;no;0;0;0;3;No Deposit;no
904;1;October;6;4;1;yes;FB - Full Board;2;0;0;no;0;0;0;0;No Deposit;no
905;1;December;3;0;0;yes;BB - Bed & Breakfast;3;0;0;yes;0;0;1;0;No Deposit;no
917;1;December;15;1;0;no;BB - Bed & Breakfast;2;0;0;yes;2;8;1;1;No Deposit;no
921;81;February;28;4;1;no;SC - Self Catering;2;0;0;no;0;0;0;1;No Deposit;yes
927;83;May;9;4;1;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit;yes
928;10;February;13;3;1;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit;no
933;51;June;21;1;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit;no
934;63;February;26;2;1;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit;no
935;413;August;24;2;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;Non Refund;yes
940;212;September;8;3;0;yes;BB - Bed & Breakfast;1;0;0;no;0;0;0;0;Non Refund;yes
941;147;December;30;3;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit;no
945;141;August;27;5;1;yes;BB - Bed & Breakfast;2;2;0;no;0;0;0;0;No Deposit;no
958;41;October;6;4;1;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit;no
964;20;March;12;3;1;no;HB - Half Board;2;0;0;no;0;0;0;2;No Deposit;no
966;112;April;28;4;1;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;Non Refund;yes
967;195;October;21;7;2;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit;yes
975;113;August;18;2;0;no;BB - Bed & Breakfast;1;0;0;no;0;0;0;0;No Deposit;yes
1002;273;July;7;4;1;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;2;No Deposit;no
1004;24;May;18;2;0;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit;no
1006;77;February;13;4;2;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit;no
