id;antecedencia_da_reserva;mes_chegada;dia_chegada;noites_da_estadia;noites_fim_de_semana;hotel_de_praia;regime;adultos;criancas;bebes;ja_cliente;cancelamentos_anteriores;reservas_anteriores_nao_canceladas;alteracoes_da_reserva;total_de_pedidos;tipo_deposito
78771;14;October;28;4;2;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit
78780;80;July;8;5;2;no;BB - Bed & Breakfast;3;0;0;no;0;0;0;0;No Deposit
78783;29;August;2;7;2;yes;HB - Half Board;3;0;0;no;0;0;0;1;No Deposit
78784;172;August;2;7;2;yes;HB - Half Board;2;0;0;no;0;0;1;0;No Deposit
78789;11;January;18;0;0;no;SC - Self Catering;2;0;0;no;0;0;0;1;No Deposit
78798;60;March;9;4;1;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit
78800;430;September;24;2;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit
78805;1;August;25;1;0;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit
78809;150;December;6;3;2;yes;FB - Full Board;2;0;0;no;0;0;0;0;Non Refund
78811;16;April;22;3;1;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit
78813;36;February;7;4;1;yes;BB - Bed & Breakfast;2;0;0;no;0;0;1;0;No Deposit
78817;3;September;21;1;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;2;No Deposit
78819;26;December;26;3;0;no;BB - Bed & Breakfast;3;0;0;no;0;0;2;1;No Deposit
78825;204;May;24;3;0;yes;BB - Bed & Breakfast;1;0;0;no;0;0;1;2;No Deposit
78826;15;August;14;2;1;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit
78828;203;June;19;7;2;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit
78829;80;October;9;2;1;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit
78830;29;October;5;4;1;no;HB - Half Board;1;0;0;no;0;0;0;1;No Deposit
78831;47;September;19;3;0;no;BB - Bed & Breakfast;3;0;0;no;0;0;0;1;No Deposit
78833;61;February;19;4;1;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;2;No Deposit
78835;51;June;4;3;1;no;BB - Bed & Breakfast;2;2;0;no;0;0;1;2;No Deposit
78849;78;August;8;2;0;no;BB - Bed & Breakfast;2;2;0;no;0;0;0;0;No Deposit
78853;35;October;27;4;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit
78854;300;August;13;2;0;no;BB - Bed & Breakfast;2;0;0;no;1;0;0;0;Non Refund
78857;4;March;11;1;0;yes;BB - Bed & Breakfast;1;0;0;no;0;0;0;0;No Deposit
78858;375;October;27;2;1;no;BB - Bed & Breakfast;2;0;0;no;1;0;0;0;Non Refund
78859;182;October;27;2;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;2;No Deposit
78860;83;March;4;6;2;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit
78861;64;October;1;4;2;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit
78864;380;October;30;2;1;no;BB - Bed & Breakfast;1;0;0;no;1;0;0;0;Non Refund
78867;9;August;14;3;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;2;No Deposit
78871;151;October;29;3;1;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit
78872;275;April;8;2;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;Non Refund
78873;4;November;4;3;0;yes;BB - Bed & Breakfast;1;1;0;no;0;0;0;4;No Deposit
78874;22;February;2;3;1;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit
78879;192;July;7;4;2;no;BB - Bed & Breakfast;2;2;0;no;0;0;0;0;No Deposit
78880;278;November;8;3;1;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;Non Refund
78886;63;November;13;4;2;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;2;No Deposit
78889;47;March;12;1;0;yes;BB - Bed & Breakfast;1;0;0;no;0;0;0;0;No Deposit
78891;35;May;29;2;0;no;SC - Self Catering;2;0;0;no;0;0;0;2;No Deposit
78892;14;May;25;1;0;yes;BB - Bed & Breakfast;1;0;0;no;0;0;0;3;No Deposit
78901;143;February;11;3;1;no;BB - Bed & Breakfast;2;0;0;no;0;0;1;0;No Deposit
78903;116;May;12;3;0;no;SC - Self Catering;2;0;0;no;0;0;0;0;No Deposit
78905;338;June;10;2;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;Non Refund
78906;19;November;24;2;0;no;SC - Self Catering;2;0;0;no;0;0;0;2;No Deposit
78908;1;September;26;3;1;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit
78909;4;December;13;4;1;no;BB - Bed & Breakfast;1;0;0;no;0;0;1;2;No Deposit
78918;69;November;26;2;0;no;BB - Bed & Breakfast;1;0;0;no;0;0;0;0;No Deposit
78919;74;March;31;3;0;no;SC - Self Catering;2;0;0;no;0;0;0;0;No Deposit
78922;62;September;6;4;2;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit
78923;21;August;25;4;1;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit
78924;37;May;23;1;1;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit
78928;5;January;23;1;0;yes;BB - Bed & Breakfast;2;1;0;no;0;0;0;0;No Deposit
78934;275;April;6;2;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;Non Refund
78935;282;April;15;2;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;Non Refund
78940;184;September;9;3;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit
78944;17;October;23;1;0;no;BB - Bed & Breakfast;2;2;0;no;1;0;0;1;No Deposit
78951;100;February;20;1;0;no;BB - Bed & Breakfast;2;0;0;no;1;0;0;0;No Deposit
78954;161;July;13;3;0;no;BB - Bed & Breakfast;3;0;0;no;0;0;0;0;No Deposit
78957;2;February;13;1;0;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit
78961;3;April;20;3;1;yes;BB - Bed & Breakfast;2;2;0;no;0;0;0;0;No Deposit
78962;1;February;16;1;0;yes;BB - Bed & Breakfast;1;0;0;yes;0;3;0;2;No Deposit
78965;3;May;14;4;2;no;BB - Bed & Breakfast;1;0;0;no;0;0;1;0;No Deposit
78966;92;July;23;3;2;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit
78974;153;July;21;5;2;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit
78979;11;March;17;7;2;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit
78984;68;April;6;3;1;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit
78988;53;November;11;5;2;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit
78994;313;June;16;3;0;no;BB - Bed & Breakfast;2;1;0;no;0;0;2;0;No Deposit
78995;175;July;1;5;2;no;BB - Bed & Breakfast;3;0;0;no;0;0;0;0;No Deposit
79005;310;May;13;2;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;Non Refund
79006;3;December;15;1;0;no;BB - Bed & Breakfast;1;0;0;no;0;1;0;0;No Deposit
79012;213;April;30;3;1;no;BB - Bed & Breakfast;2;0;0;no;1;0;0;2;No Deposit
79013;2;May;9;1;0;yes;BB - Bed & Breakfast;1;0;0;no;0;0;2;1;No Deposit
79019;160;April;27;3;1;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit
79021;449;June;16;3;2;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit
79029;181;July;17;3;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit
79030;214;June;25;2;1;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;Non Refund
79038;7;August;24;1;0;no;BB - Bed & Breakfast;2;1;0;no;0;0;0;1;No Deposit
79040;309;November;24;2;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;Non Refund
79047;170;March;31;3;0;yes;BB - Bed & Breakfast;2;0;0;no;0;0;1;0;Refundable
79049;67;August;27;7;2;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit
79050;88;September;10;1;0;no;BB - Bed & Breakfast;1;0;0;no;0;0;0;0;No Deposit
79052;25;March;17;3;1;yes;BB - Bed & Breakfast;3;0;0;no;0;0;0;0;No Deposit
79056;176;August;25;1;1;no;BB - Bed & Breakfast;2;0;0;no;1;0;0;2;No Deposit
79061;244;September;5;2;0;yes;BB - Bed & Breakfast;2;0;0;no;1;0;0;1;No Deposit
79064;207;March;25;3;2;no;HB - Half Board;2;0;0;no;0;0;0;0;No Deposit
79071;206;May;30;3;2;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;Non Refund
79074;68;April;21;7;2;yes;HB - Half Board;2;0;0;no;0;0;0;0;No Deposit
79076;151;September;5;5;2;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;2;No Deposit
79087;300;August;13;2;0;no;BB - Bed & Breakfast;2;0;0;no;1;0;0;0;Non Refund
79091;9;February;2;1;0;yes;BB - Bed & Breakfast;1;0;0;yes;0;9;0;0;No Deposit
79093;4;April;23;1;0;no;HB - Half Board;2;2;0;no;0;0;0;1;No Deposit
79094;34;November;13;4;2;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit
79095;175;July;6;4;2;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit
79101;200;August;7;3;2;yes;BB - Bed & Breakfast;2;1;0;no;0;0;0;0;No Deposit
79104;93;March;6;7;2;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit
79107;58;February;8;4;2;no;BB - Bed & Breakfast;2;0;0;no;0;0;1;1;No Deposit
79125;28;December;8;1;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;2;No Deposit
79129;117;February;28;4;2;no;BB - Bed & Breakfast;1;0;0;no;0;0;1;0;No Deposit
79135;29;July;19;7;2;yes;FB - Full Board;2;1;0;no;0;0;0;1;No Deposit
79139;34;March;21;3;0;no;BB - Bed & Breakfast;2;2;0;no;0;0;0;1;No Deposit
79142;41;April;2;3;1;no;SC - Self Catering;2;0;0;no;0;0;0;0;No Deposit
79146;111;August;1;6;1;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit
79149;87;January;23;1;0;no;BB - Bed & Breakfast;1;0;0;no;1;0;0;0;Non Refund
79151;14;January;19;5;1;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit
79152;627;November;8;3;1;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;Non Refund
79156;236;September;12;4;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit
79158;73;October;27;2;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;1;0;No Deposit
79162;127;May;5;4;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit
79163;280;October;11;3;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;Non Refund
79167;23;July;21;2;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;Non Refund
79170;40;August;27;3;2;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;2;No Deposit
79173;2;October;9;2;1;no;SC - Self Catering;3;0;0;no;0;0;0;2;No Deposit
79174;13;March;20;7;2;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit
79176;365;October;15;2;0;no;HB - Half Board;2;0;0;no;1;0;0;0;Non Refund
79177;125;April;10;7;2;yes;HB - Half Board;2;0;0;no;0;0;1;0;Non Refund
79178;185;April;4;4;1;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;Non Refund
79180;96;July;6;3;1;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit
79185;19;February;11;2;2;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit
79191;7;March;2;6;2;yes;HB - Half Board;2;0;0;no;0;0;0;0;No Deposit
79201;14;May;4;4;1;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit
79209;373;July;15;2;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;Non Refund
79211;132;June;16;3;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;1;0;No Deposit
79215;27;March;2;25;6;yes;HB - Half Board;2;0;0;no;0;0;0;0;No Deposit
79216;4;February;12;2;1;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit
79218;24;November;11;7;2;yes;HB - Half Board;2;0;0;no;0;0;1;0;No Deposit
79219;216;November;20;2;1;no;BB - Bed & Breakfast;1;0;0;no;0;0;0;0;Non Refund
79226;89;April;1;4;2;no;SC - Self Catering;2;0;0;no;0;0;0;0;No Deposit
79229;78;July;26;4;0;no;SC - Self Catering;2;0;0;no;0;0;0;0;No Deposit
79236;87;October;24;9;2;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit
79244;313;August;26;4;0;no;BB - Bed & Breakfast;1;0;0;no;1;0;0;0;No Deposit
79253;324;September;4;2;1;no;BB - Bed & Breakfast;2;0;0;no;1;0;0;0;Non Refund
79258;113;March;12;1;1;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit
79261;5;August;13;2;0;no;SC - Self Catering;2;0;0;no;0;0;0;0;No Deposit
79269;469;July;30;3;2;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit
79272;1;January;20;1;0;no;BB - Bed & Breakfast;1;0;0;yes;2;10;0;1;No Deposit
79275;13;March;31;21;6;no;BB - Bed & Breakfast;1;0;0;no;0;0;0;0;No Deposit
79281;215;March;25;7;2;yes;HB - Half Board;1;0;0;no;0;0;1;0;No Deposit
79286;4;February;24;1;0;yes;BB - Bed & Breakfast;1;0;0;yes;0;1;0;2;No Deposit
79287;1;January;24;4;1;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit
79290;468;July;27;1;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;Non Refund
79291;111;October;26;3;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit
79307;189;July;26;7;2;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit
79309;32;March;1;1;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit
79311;12;May;8;15;5;no;BB - Bed & Breakfast;1;0;0;no;0;0;0;0;No Deposit
79313;80;May;29;4;1;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit
79318;210;July;9;7;2;yes;BB - Bed & Breakfast;2;2;0;no;0;0;0;0;No Deposit
79319;86;April;22;4;1;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;2;No Deposit
79324;9;April;13;3;0;no;SC - Self Catering;2;0;0;no;0;0;0;1;No Deposit
79326;191;May;4;3;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;1;1;No Deposit
79327;214;May;28;8;3;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit
79328;2;August;13;1;1;yes;BB - Bed & Breakfast;3;0;0;no;0;0;0;1;No Deposit
79331;181;August;25;2;0;no;SC - Self Catering;2;0;0;no;0;0;0;0;No Deposit
79332;10;October;26;8;3;yes;BB - Bed & Breakfast;2;1;0;no;0;0;0;0;No Deposit
79350;196;March;6;10;4;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit
79352;196;February;14;2;0;no;SC - Self Catering;1;0;0;no;0;0;0;1;No Deposit
79355;15;June;3;4;2;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit
79364;48;April;1;5;2;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit
79367;93;July;14;5;2;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;2;No Deposit
79368;4;October;21;1;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit
79374;44;July;2;4;2;no;BB - Bed & Breakfast;2;0;0;no;0;0;1;3;No Deposit
79376;20;January;13;3;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit
79377;64;July;23;4;1;no;SC - Self Catering;2;0;0;no;0;0;0;1;No Deposit
79378;160;May;6;3;0;yes;BB - Bed & Breakfast;2;0;0;no;1;0;0;2;No Deposit
79381;13;May;3;1;0;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit
79386;89;September;23;3;2;no;BB - Bed & Breakfast;2;2;0;no;0;0;0;1;No Deposit
79387;29;September;7;3;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit
79395;67;March;9;3;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit
79396;36;October;10;3;2;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;3;No Deposit
79405;164;September;11;7;2;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit
79407;28;January;24;3;0;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit
79408;22;March;7;3;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit
79411;18;December;9;2;1;yes;BB - Bed & Breakfast;1;0;0;no;1;0;2;1;No Deposit
79412;33;August;18;4;1;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;2;No Deposit
79416;1;August;5;7;2;no;BB - Bed & Breakfast;1;0;0;no;0;0;1;0;No Deposit
79417;39;December;9;3;2;no;BB - Bed & Breakfast;2;2;0;no;0;0;0;0;No Deposit
79418;20;February;16;12;3;no;BB - Bed & Breakfast;1;0;0;no;0;0;0;0;No Deposit
79434;117;May;8;3;2;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit
79437;127;April;27;2;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;Non Refund
79438;193;August;10;1;0;no;BB - Bed & Breakfast;2;1;0;no;0;0;1;2;No Deposit
79443;1;July;15;1;0;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit
79447;162;March;26;3;1;no;HB - Half Board;2;0;0;no;0;0;0;0;Non Refund
79448;153;August;2;7;2;yes;HB - Half Board;2;2;0;no;0;0;1;0;No Deposit
79456;287;May;12;4;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;1;1;No Deposit
79458;125;October;23;5;2;yes;BB - Bed & Breakfast;2;0;0;no;0;0;1;0;No Deposit
79463;142;September;6;3;1;no;BB - Bed & Breakfast;3;0;0;no;0;0;0;2;No Deposit
79465;1;February;16;2;0;yes;BB - Bed & Breakfast;2;0;0;yes;0;1;0;0;No Deposit
79466;2;March;17;1;0;yes;HB - Half Board;1;0;0;no;0;0;1;0;No Deposit
79468;41;May;3;4;0;no;SC - Self Catering;2;0;0;no;0;0;0;0;No Deposit
79470;135;February;26;1;0;no;BB - Bed & Breakfast;1;0;0;no;0;0;0;0;No Deposit
79471;1;September;19;2;2;no;BB - Bed & Breakfast;1;0;0;no;0;0;0;0;No Deposit
79499;38;October;12;3;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit
79506;145;October;26;5;0;no;BB - Bed & Breakfast;3;0;0;no;0;0;0;0;No Deposit
79510;31;March;4;5;2;no;BB - Bed & Breakfast;3;0;0;no;0;0;0;3;No Deposit
79511;3;October;30;1;0;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit
79519;86;April;9;4;1;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit
79520;122;March;25;2;0;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit
79521;191;August;5;10;2;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit
79524;6;September;28;5;2;no;SC - Self Catering;2;0;0;no;1;0;1;1;No Deposit
79530;271;June;30;7;2;yes;HB - Half Board;2;0;0;no;0;0;0;0;No Deposit
79535;17;April;19;2;0;no;HB - Half Board;1;0;0;no;0;0;0;0;No Deposit
79545;1;July;10;1;0;yes;BB - Bed & Breakfast;1;0;0;no;0;0;0;0;No Deposit
79548;199;October;4;2;1;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit
79551;3;May;8;3;0;no;BB - Bed & Breakfast;1;0;0;no;0;0;0;2;No Deposit
79552;3;November;5;2;0;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit
79554;9;February;11;3;0;no;BB - Bed & Breakfast;3;0;0;yes;11;22;1;2;No Deposit
79555;66;April;22;2;2;no;SC - Self Catering;2;0;0;no;0;0;0;0;No Deposit
79559;70;October;26;3;2;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit
79560;167;June;26;4;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;2;No Deposit
79565;19;May;8;3;1;no;BB - Bed & Breakfast;1;0;0;no;0;0;0;0;No Deposit
79568;104;July;19;3;2;no;HB - Half Board;2;0;0;no;0;0;0;0;No Deposit
79580;324;September;4;2;1;no;BB - Bed & Breakfast;2;0;0;no;1;0;0;0;Non Refund
79585;93;September;1;3;1;no;BB - Bed & Breakfast;2;1;0;no;0;0;0;2;No Deposit
79586;89;September;25;4;2;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;Non Refund
79591;11;January;7;4;2;no;SC - Self Catering;2;0;0;no;0;0;0;0;No Deposit
79602;48;October;18;5;1;yes;HB - Half Board;2;0;0;no;0;0;0;0;No Deposit
79608;176;May;18;1;0;no;BB - Bed & Breakfast;1;0;0;no;0;0;0;0;Non Refund
79618;89;August;8;8;2;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit
79621;38;October;14;3;0;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit
79626;65;February;15;1;0;no;BB - Bed & Breakfast;3;0;0;no;0;0;0;2;No Deposit
79646;165;August;15;6;2;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit
79650;40;September;8;4;2;no;BB - Bed & Breakfast;3;0;0;no;0;0;0;1;No Deposit
79651;119;July;3;2;2;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;No Deposit
79652;42;December;3;1;0;no;SC - Self Catering;2;0;0;no;0;0;0;1;No Deposit
79653;20;April;28;3;1;no;BB - Bed & Breakfast;2;2;0;no;0;0;0;0;No Deposit
79655;18;March;1;4;0;no;HB - Half Board;2;0;0;no;0;0;1;0;No Deposit
79658;138;November;13;4;1;no;SC - Self Catering;2;0;0;no;0;0;0;0;No Deposit
79664;177;April;8;2;1;no;HB - Half Board;2;0;0;no;1;0;0;0;Non Refund
79668;245;July;5;6;2;no;SC - Self Catering;0;0;0;no;0;0;0;0;No Deposit
79678;149;October;25;1;0;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;0;Non Refund
79680;52;September;1;7;2;no;BB - Bed & Breakfast;2;0;0;no;0;0;0;3;No Deposit
79681;3;July;25;3;1;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;1;No Deposit
79688;205;May;26;7;2;yes;BB - Bed & Breakfast;2;0;0;no;0;0;0;2;No Deposit
79689;85;August;21;5;2;yes;HB - Half Board;2;0;0;no;0;0;0;3;No Deposit
79691;208;July;29;6;2;no;SC - Self Catering;2;0;0;no;0;0;0;1;No Deposit
